EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:01:37,,0:02:03,,Alisa walking in front of the window up to Cheng readying his rifle in the window,,,,,,,,,,,
,Jessica Jones,,,,2.08,AKA Ain't We Got Fun,,,,0:47:31,,0:47:50,,Alisa pouring whiskey into her mug up to Jessica tackling Alisa to the floor,,,,,,,,,,,
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:02:22,,0:02:27,,Cheng looking up from his scope twice,,,,,,,,,,,
,Jessica Jones,,,,2.08,AKA Ain't We Got Fun,,,,0:47:50,,0:48:06,,"Jessica rolling onto her back up to Jessica saying ""But we're okay.""",,,,,,,,,,,
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:02:28,,0:02:31,,Cheng seeing Alisa moving to the window and looking through it,,,,,,,,,,,
,Jessica Jones,,,,2.08,AKA Ain't We Got Fun,,,,0:48:08,,0:48:10,,Alisa looking through the window and Cheng firing,,,,,,,,,,,
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:02:33,,0:02:35,,Cheng looking up after seeing Alisa looking through the window again,,,,,,,,,,,
,Jessica Jones,,,,2.08,AKA Ain't We Got Fun,,,,0:48:11,,0:48:17,,"Alisa moving away from the window and rushing out of the apartment, Jessica saying ""Wait, let me handle it.""",,,,,,,,,,,
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:02:36,,0:02:41,,"Cheng saying ""Shit!"" and running out of the room",,,,,,,,,,,
,Jessica Jones,,,,2.08,AKA Ain't We Got Fun,,,,0:48:18,,0:48:20,,"Jessica saying ""No. Stop!""",,,,,,,,,,,
,Jessica Jones,,,,2.09,"AKA Shark in the Bathtub, Monster in the Bed",,,,0:02:42,,0:48:02,,Cheng rounding a corner and running down a hallway up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:06:53,,0:07:00,,Fitz in Captivity Montage: Fitz doing pushups and turning on his desk lamp when the lights go out,,,,,,,,,,,
,Jessica Jones,,,,2.10,AKA Pork Chop,,,,0:01:32,,0:53:15,,Full episode,,,,,,,,,,,
,Jessica Jones,,,,2.11,AKA Three Lives and Counting,,,,0:01:31,,0:27:56,,NOTE: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Alisa watching Officer Toussaint's screen and Toussaint moving out of the way,,,,,,,,,,,
,Jessica Jones,,,,2.11,AKA Three Lives and Counting,,,,0:31:14,,0:47:15,,Alisa being startled by a buzzer up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,2.12,AKA Pray for My Patsy,,,,0:01:31,,0:04:47,,Up to Alisa opening a loading door and walking out,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:07:01,,0:07:06,,Fitz in Captivity Montage: Fitz doing crunches and drawing a monkey face on the wall,,,,,,,,,,,
,Jessica Jones,,,,2.12,AKA Pray for My Patsy,,,,0:04:48,,0:45:10,,Alisa walking through Times Square up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,2.13,AKA Playland,,,,0:01:30,,0:40:31,,"Up to the ""Playland"" logo being revealed on the ferris wheel",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:07:06,,0:08:40,,"Fitz in Captivity Montage: Fitz yelling ""What are you doing?"" at his TV and tossing a book at the wall up to Lt. Lucas saying ""His intel on Radcliffe's base panned out, so he's helping us... and he's our only chance at finding the others.""",,,,,,,,,,JUN,
,Jessica Jones,,,,2.13,AKA Playland,,,,0:40:37,,0:44:54,,Jessica walking down the sidewalk up to Trish catching her phone with her foot,,,,,,,,,,,
,Jessica Jones,,,,3.02,A.K.A. You're Welcome,,,,0:01:38,,0:02:54,,"Flashback: Trish tilting her head while looking at her phone balanced on her foot up to Trish narrating ""I'll be ready when you are."" and walking away from Jessica's building",,,,,,,,,,,
,Jessica Jones,,,,2.13,AKA Playland,,,,0:45:08,,0:50:52,,Jeri looking at possible logos for her new firm while on the phone up to the end of the episode,,,,,,,,,,,
,Runaways,,,,1.01,Reunion,,,,0:00:07,,0:03:04,,"Up to the Church of Gibborim van driving away and one of the men saying ""She would have been safer with us."" in Spanish",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:08:41,,0:08:51,,Fitz in Captivity Montage: Drawings of monkey faces up to Fitz writing an equation on the wall and looking at it,,,,,,,,,,,
,Jessica Jones,,,,3.02,A.K.A. You're Welcome,,,,0:02:55,,0:03:47,,Flashback: Trish stepping on top of a picnic table up to Trish training with a personal trainer,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:08:52,,0:08:59,,Fitz in Captivity Montage: Fitz eating breakfast and looking at Jemma's picture,,,,,,,,,,,
,Jessica Jones,,,,3.02,A.K.A. You're Welcome,,,,0:03:48,,0:05:54,,Flashback: Trish running up a wall and falling up to Trish visiting Jessica's website,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:08:59,,0:09:41,,Fitz in Captivity Montage: Fitz doing push-ups up to Fitz handing another letter to Lt. Evans,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:19:53,,0:21:23,,"Flashback: ""122 Days Ago"" up to Officer Wyatt returning with coffee",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""To Love Somebody"" by Alexis Renee begins at 0:21:21.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:24:07,,0:29:46,,"Flashback: Mayhem making an evidence wall, ""113 Days Ago"", up to Mayhem taking ""Missing"" posters off of a door",,,,,,,,,,JUL,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:31:54,,0:32:01,,Flashback: Mayhem clearing her evidence wall and constructing a new one,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: The following clips are part of a montage of Mayhem constructing her new evidence wall and Mayhem killing gang members at a meeting (Massacre at the Rougarou Club).,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Last Ones Left"" by Stylo Beddoe begins at 0:31:51 and plays overtop of the montage.",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:12,,0:32:13,,"Flashback: Mayhem adding a photo below a ""Missing"" poster",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:14,,0:32:15,,"Flashback: Mayhem connecting a string to a ""Missing"" poster",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:18,,0:32:19,,"Flashback: Mayhem adding another ""Missing"" poster",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:24,,0:32:25,,"Flashback: Mayhem adding a sticky note that reads: ""Where are the girls??""",,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:27,,0:32:28,,Flashback: Mayhem looking at her evidence wall with both her hands placed on it,,,,,,,,,,,
,Cloak & Dagger,,,,2.03,Shadow Selves,,,,0:32:29,,0:32:30,,"Flashback: Mayhem adding a sticky note that reads: ""How are they moving them??""",,,,,,,,,,,
,The Punisher,,,,2.04,Scar Tissue,,,,0:11:21,,0:13:54,,"Flashback: Russo counting while doing push-ups up to Russo saying ""As if we had a choice, you know?",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Russo's dialogue begins at 0:11:18,,,,,,,,,,,
,The Punisher,,,,2.04,Scar Tissue,,,,0:14:02,,0:15:24,,"Flashback: Krista Dumont asking Russo ""Have you seen the skull in your dreams lately?"" up to Dumont asking ""What face do you want the world to see?""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Dumont's dialogue begins at 0:14:00.,,,,,,,,,,,
,The Punisher,,,,2.04,Scar Tissue,,,,0:52:01,,0:54:39,,"Flashback: Russo adjusting his mask under his hood up to Dumont saying to Russo ""I will help you get there.""",,,,,,,,,,,
,Luke Cage,,,,2.01,Soul Brother #1,,,,0:00:16,,0:28:06,,"Up to Bushmaster saying to Sheldon ""First, we take Brooklyn.""",,,,,,,,,,AUG,
,,,,,,,,,,,,,,NOTE: Title at 0:02:58,,,,,,,,,,,
,Doctor Strange,,,,,,,,,1:52:54,,1:54:33,,Post-credits scene: Mordo visiting Jonathan Pangborn and forcefully removing his power,,,,,,,,,,,
,Luke Cage,,,,2.01,Soul Brother #1,,,,0:28:07,,0:53:58,,D.W. entering Pop's Barber Shop up to the end of the episode,,,,,,,,,,,
,Luke Cage,,,,2.02,Straighten in Out,,,,0:00:15,,0:52:45,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:38,,,,,,,,,,,
,Luke Cage,,,,2.03,Wig Out,,,,0:00:16,,0:57:30,,"Up to the lyrics ""And we was trying one more time to make amends / Oh, yes, we was / Some say ...""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Title at 0:04:24,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""You Can Leave, But It's Going to Cost You"" by Marvin Gaye begins at 0:57:08 and stops playing when Luke gets punched by Bushmaster.",,,,,,,,,,,
,Luke Cage,,,,2.04,I Get Physical,,,,0:00:19,,0:00:50,,NOTE: The beginning of 2.04 shows D.W.'s perspective leading up to the ending of 2.03. Because of the intercutting some moments have been extended.,,,,,,,,,,,
,,,,,,,,,,,,,,D.W. walking down a crowded sidewalk up to D.W crossing the street,,,,,,,,,,,
,Luke Cage,,,,2.03,Wig Out,,,,0:57:31,,0:57:36,,"The lyrics ""... you can leave, but it's going to cost you"" and Luke being punched",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""You Can Leave, But It's Going to Cost You"" by Marvin Gaye plays overtop",,,,,,,,,,,
,Luke Cage,,,,2.04,I Get Physical,,,,0:00:53,,0:00:54,,D.W.'s reaction to Luke being punched,,,,,,,,,,,
,Luke Cage,,,,2.03,Wig Out,,,,0:57:37,,0:57:58,,Luke falling up to the end of the episode,,,,,,,,,,,
,Luke Cage,,,,2.04,I Get Physical,,,,0:01:03,,0:52:18,,Luke getting up up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:10,,,,,,,,,,,
,Luke Cage,,,,2.05,All Souled Out,,,,0:01:29,,0:55:27,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: Including Misty Knight's memories of Scarfe at 0:28:42, 0:44:17 and 0:49:26 that were included earlier as flashbacks.",,,,,,,,,,,
,Luke Cage,,,,2.06,The Basement,,,,0:00:15,,1:01:59,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:00,,,,,,,,,,,
,Luke Cage,,,,2.07,On and On,,,,0:00:13,,0:36:32,,NOTE 1: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to Luke asking his father ""Do you remember the last time you saw me at Seagate? When I told you I was innocent?""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:01:25,,,,,,,,,,,
,Luke Cage,,,,2.07,On and On,,,,0:36:37,,0:46:01,,"Luke saying ""But she, sick as she was, she never gave up on me."" up to Luke's father saying ""I was angry, son, when that cancer struck.""",,,,,,,,,,,
,Luke Cage,,,,2.07,On and On,,,,0:46:08,,0:47:10,,"Bushmaster saying ""But not before mi faddah shot him back in him belly."" up to Bushmaster saying ""I neva saw her again.""",,,,,,,,,,,
,Luke Cage,,,,2.07,On and On,,,,0:47:17,,0:53:41,,"Luke saying ""That's the last that I saw her."" up to the end of the episode",,,,,,,,,,,
,Luke Cage,,,,2.08,"If It Ain't Rough, It Ain't Right",,,,0:00:16,,0:53:02,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:06:10,,,,,,,,,,,
,Luke Cage,,,,2.09,For Pete's Sake,,,,0:01:31,,0:57:10,,Full episode,,,,,,,,,,,
,Luke Cage,,,,2.10,The Main Ingredient,,,,0:00:14,,0:57:09,,Full episode,,,,,,,,,,SEP,
,,,,,,,,,,,,,,NOTE: Title at 0:05:31,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:00:15,,0:04:31,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Sheldon telling Bushmaster to fight and Bushmaster laying on a bed,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:46,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:08:07,,0:19:50,,"Chainlink fence, Harlem's Paradise, up to Sheldon saying to Tilda ""The rum is only the beginnin'.""",,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:21:17,,0:29:38,,"Tilda saying ""Mama Mabel. I didn't know everything."" up to Tilda preparing the nightshade",,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:31:43,,0:31:46,,NOTE: This montage sequence intercuts with a flashback sequence of Young John McIver/Bushmaster receiving Nightshade for the first time.,,,,,,,,,,,
,,,,,,,,,,,,,,Tilda administering Nightshade to Bushmaster,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:07,,0:32:11,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:21,,0:32:28,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:32,,0:32:37,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:41,,0:32:42,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:46,,0:32:49,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:51,,0:32:54,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:33:17,,0:54:13,,Shrapnel being forced out of Bushmaster's wounds up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Ingrid Mackintosh's continuation of her telling McIver/Bushmaster's story to Luke Cage comes in at 0:33:07.,,,,,,,,,,,
,Luke Cage,,,,2.12,Can't Front On Me,,,,0:00:15,,1:00:14,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:01:41,,,,,,,,,,,
,Luke Cage,,,,2.13,They Reminisce Over You,,,,0:00:13,,1:06:57,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:14,,,,,,,,,,,
,Daredevil,,,,3.01,Resurrection,,,,0:18:46,,0:34:47,,Matt in a wheelchair being brought to a more private area of the church by Maggie and Father Lantom up to Maggie arriving with food,,,,,,,,,,,
,Iron Fist,,,,2.01,The Fury of the Iron Fist,,,,0:00:15,,0:55:06,,Full episode,,,,,,,,,,OCT,
,,,,,,,,,,,,,,NOTE: Title at 0:05:37,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:00:13,,0:13:04,,NOTE 1: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Danny sitting at his desk rubbing his forehead,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:02:05,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: The sound of drumming in early at 0:12:57.,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:15:05,,0:24:47,,Colleen arriving at the Bayard Community Center up to Danny leaving Yang's office and entering the fish packing area,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:27:41,,0:45:03,,Ward approaching his assistant at Mike Armstrong & Co. up to Danny putting a record on and sitting in a chair,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:47:15,,0:50:36,,Danny sitting in his chair up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.03,The Deadly Secret,,,,0:00:13,,0:04:21,,Up to Danny sitting at his desk and pulling his chair closer,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.05,Rewind,,,,0:09:45,,0:09:56,,"Fitz in Captivity Montage: Fitz spinning around, looking all the equations on his walls up to Fitz banging his head against the wall",,,,,,,,,,,
,Iron Fist,,,,2.03,The Deadly Secret,,,,0:05:38,,0:49:35,,People at a NA meeting passing a can around and putting money in it up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.04,Target: Iron Fist,,,,0:02:18,,0:50:38,,NOTE: The beginning of the episode is a flashforward that is shown later in the episode.,,,,,,,,,,,
,,,,,,,,,,,,,,"Danny saying to Colleen ""I keep going over and over it in my head, but... it's still not clear."" up to the end of the episode",,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:00:15,,0:00:47,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Davos bowing his head,,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:02:13,,0:03:37,,"Davos looking up up to Davos saying ""The Immortal Iron Fist.""",,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:04:54,,0:11:25,,"Colleen saying ""Still no answer."" up to Colleen saying ""Come on."" and Misty following her",,,,,,,,,,,
,Daredevil,,,,3.01,Resurrection,,,,0:34:48,,0:35:13,,"Matt training in front of the stairs up to Maggie saying to Father Lantom ""It's the only damn thing that's gotten him out of bed. So, please, just do it.""",,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:11:26,,0:15:07,,Danny stumbling into Ryhno's Gang up to Davos and Chen Wu looking at Ho's body,,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:17:18,,0:26:35,,Danny chained to a pole up to Davos pushing the button to call the elevator,,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:29:22,,0:52:35,,Davos opening the elevator doors up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.06,The Dragon Dies at Dawn,,,,0:00:14,,0:48:25,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:07,,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:00:16,,0:02:20,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Colleen and Danny holding hands,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:01:32,,0:02:01,,NOTE 1: The beginning of this episode shows a montage of Tandy and Tyrone at different times of the day. The montage intercuts between them.,,,,,,,,,,,
,,,,,,,,,,,,,,"Tandy: Tandy taping her ballet slipper up to the ballet instructor saying ""Port de bras forward... straight...""",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Run For Your Life"" by The Seige plays overtop of the montage.",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:02:39,,0:03:04,,"Tandy: Tandy holding onto a ballet barre up to the ballet instructor saying ""... you don't get points for distance."" and continuing to count",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:03:31,,0:03:40,,"Tandy: The ballet instructor saying ""Watch your croisé line."" up to ""There's no jeté without the tendu.""",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:03:55,,0:04:00,,Tandy: The class practicing a dance,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:27,,0:04:34,,Tandy: The class practicing a spin,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:38,,0:04:44,,Tandy: The class continuing to spin,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:49,,0:04:53,,Tandy: The class continuing to spin up to the ballet instructor calling them back,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:00,,0:05:04,,Tandy: Tandy zipping up her bag and putting it over her shoulder,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:07,,0:05:09,,Tandy: Tandy walking,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:12,,0:05:15,,Tandy: The class leaving the dance studio,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:02:02,,0:02:38,,Tyrone: Tyrone looking down on two drug dealers,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:03:05,,0:03:31,,Tyrone: Tyrone continuing to look down on the drug dealers up to one of the drug dealers on an electric scooter,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:03:41,,0:03:54,,Tyrone: The drug dealer on the electric scooter riding through a neighborhood and Tyrone watching him from behind a car,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:01,,0:04:26,,Tyrone: The drug dealer entering and walking through the hideout up to him discovering his bag has vanished,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:35,,0:04:38,,"Tyrone: A drug dealer asking ""Where the money at?""",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:45,,0:04:48,,"Tyrone: Tyrone appearing, stealing more money and teleporting away",,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:04:54,,0:04:59,,Tyrone: Tyrone reappearing and stuffing drugs into the duffle bag,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:04,,0:05:06,,Tyrone: Tyrone walking away from the hideout,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:10,,0:05:12,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:16,,0:05:17,,,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:05:24,,0:16:54,,"Tandy and Melissa in a group counseling meeting up to Tyrone and Tandy watching Zorro and Tandy saying ""But I make knives of light. I mean, what would I even do?"" and Tyrone looking at her",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:03:40,,0:06:37,,"Wu leaning against a wall and Davos punching holes through it up to BB saying ""That is one strange dude.""",,,,,,,,,,,
,Jessica Jones,,,,3.02,A.K.A. You're Welcome,,,,0:05:55,,0:12:50,,"Flashback: Trish meeting with Dorothy in a cafe up to Trish stopping a mugger, returning a man's phone and running away when recognized",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:06:38,,0:15:47,,Misty sitting in her car up to Misty leaving Joy's apartment,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:16:57,,0:18:35,,"Tandy saying ""But, seriously, a ""pinch""? Or a ""dash,"" those are not measurements."" up to Tandy leaving",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Moirai's Choir (feat. Robot Koch)"" by Delhia de France begins at 0:18:28.",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:15:47,,0:18:42,,Colleen handing a poster to Danny up to Danny putting his arm around Colleen,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:18:35,,0:19:30,,Tyrone sitting in a tree watching Adina,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Moirai's Choir (feat. Robot Koch)"" by Delhia de France plays overtop.",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:18:43,,0:25:40,,Ward answering a phone call and leaving a toilet stall up to Davos snapping a carjacker's neck and walking away from Wu,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:19:31,,0:19:49,,Otis leaving a convenience/grocery store and Tyrone watching him,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Moirai's Choir (feat. Robot Koch)"" by Delhia de France plays overtop.",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:25:41,,0:28:17,,Misty meeting with Prada up to Misty leaving Prada,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:19:50,,0:20:50,,Tandy flipping through Driver's License photos on her phone up to Evita going back to highlighting her textbook,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Moirai's Choir (feat. Robot Koch)"" by Delhia de France plays overtop.",,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:28:18,,0:32:27,,Joy knocking on Mary's door up to Joy leaving and Mary looking at one of her drawings,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: There is a brief flashback to Mary's time in a Sokovian prison between this clip and the next.,,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:32:31,,0:32:34,,Mary looking more closely at her drawing,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: There is a longer flashback to Mary's time in a Sokovian prison between this clip and the next.,,,,,,,,,,,
,Iron Fist,,,,2.07,Morning of the Mindstorm,,,,0:33:31,,0:51:52,,Mary continuing to look at her drawing up to the end of the episode,,,,,,,,,,,
,Cloak & Dagger,,,,2.01,Restless Energy,,,,0:20:51,,0:32:06,,Tandy spying on Mikayla and Jeremy from across the street up to Mikayla describing Tandy's destruction of Jeremy's house at the group counseling meeting,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 1: ""Moirai's Choir (feat. Robot Koch)"" by Delhia de France plays overtop. It finishes at 0:21:31.",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Facts."" by Wonkru begins at 0:32:02.",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: The sound of Tyrone practicing basketball comes in early at 0:32:04.,,,,,,,,,,,
,Daredevil,,,,3.01,Resurrection,,,,0:35:14,,0:51:17,,Matt wrapping his hands up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,3.02,Please,,,,0:00:14,,0:08:37,,"Up to Maggie saying ""Oh, right. Almost forgot. You've seen his true face now.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:59,,,,,,,,,,,
,Daredevil,,,,3.02,Please,,,,0:11:30,,0:47:29,,Evidence laid out on a table up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,3.03,No Good Deed,,,,0:00:41,,0:02:59,,Police escort up to Ray Nadeem grabbing Fisk,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Agent Arinori's dialogue comes in early at 0:02:58.,,,,,,,,,,,
,Daredevil,,,,3.03,No Good Deed,,,,0:00:14,,0:00:40,,Fisk showering,,,,,,,,,,,
,Daredevil,,,,3.03,No Good Deed,,,,0:03:00,,0:19:55,,"Arinori saying ""Hey, convict, your lawyers are here."" up to Fisk's lawyers leaving and Fisk staring at his wall",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Arinori's dialogue begins at 0:02:58.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:03:46,,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:00:14,,0:02:09,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Danny sitting in the middle of the Chikara Dojo, meditating up to Danny saying ""Let's go again."" and Colleen swinging at Danny",,,,,,,,,,,
,Daredevil,,,,3.03,No Good Deed,,,,0:19:56,,0:25:13,,Tower practicing his speech and Foggy entering his office up to Matt walking away from Agent Poindexter (Dex),,,,,,,,,,,
,Iron Fist,,,,2.08,Citadel on the Edge of Vengeance,,,,0:03:27,,0:10:28,,Danny stretching up to Davos ripping one of Colleen's posters off a pole and looking at it,,,,,,,,,,,
